From,To,Weight,Level
Tecnologia,Mercearia,75,1
Tecnologia,Higiene,26,1
Tecnologia,Limpeza,22,1
Mercearia,Higiene,23,2
Mercearia,Limpeza,18,2
Higiene,Mercearia,23,2
Higiene,Limpeza,11,2
Limpeza,Mercearia,29,2
Limpeza,Higiene,4,2
Higiene,Limpeza,11,3
Limpeza,Higiene,4,3
Mercearia,Limpeza,18,3
Limpeza,Mercearia,29,3
Mercearia,Higiene,23,3
Higiene,Mercearia,23,3
