From,To,Weight,Level,Method,IsRootedBranching
10.87,17.96,1,17,networkx_arborescence,True
15.99,3.34,1,17,networkx_arborescence,True
21.46,32.3,1,17,networkx_arborescence,True
2313.38,44.99,1,17,networkx_arborescence,True
28.91,2.44,1,17,networkx_arborescence,True
4.66,30.73,1,17,networkx_arborescence,True
423.73,4379.31,1,17,networkx_arborescence,True
545.14,1177.98,1,17,networkx_arborescence,True
825.58,133.24,1,17,networkx_arborescence,True
1177.98,1357.37,1,18,networkx_arborescence,True
133.24,1495.93,1,18,networkx_arborescence,True
17.96,1.29,1,18,networkx_arborescence,True
2.44,1.47,1,18,networkx_arborescence,True
3.34,25.85,1,18,networkx_arborescence,True
30.73,16.94,1,18,networkx_arborescence,True
30.73,9.2,1,18,networkx_arborescence,True
32.3,4.24,1,18,networkx_arborescence,True
4379.31,1553.16,1,18,networkx_arborescence,True
44.99,3193.62,1,18,networkx_arborescence,True
1.29,14.12,1,19,networkx_arborescence,True
1.47,7.85,1,19,networkx_arborescence,True
1357.37,2015.9,1,19,networkx_arborescence,True
1495.93,696.9,1,19,networkx_arborescence,True
1553.16,47.3,1,19,networkx_arborescence,True
16.94,10.86,1,19,networkx_arborescence,True
25.85,41.75,1,19,networkx_arborescence,True
3193.62,588.42,1,19,networkx_arborescence,True
4.24,7.7,1,19,networkx_arborescence,True
10.86,13.85,1,20,networkx_arborescence,True
2015.9,1810.58,1,20,networkx_arborescence,True
41.75,34.16,1,20,networkx_arborescence,True
47.3,136.68,1,20,networkx_arborescence,True
588.42,1959.89,1,20,networkx_arborescence,True
696.9,1152.75,1,20,networkx_arborescence,True
7.7,7.31,1,20,networkx_arborescence,True
7.85,4.68,1,20,networkx_arborescence,True
1152.75,889.88,1,21,networkx_arborescence,True
13.85,20.25,1,21,networkx_arborescence,True
136.68,2248.08,1,21,networkx_arborescence,True
1810.58,431.55,1,21,networkx_arborescence,True
1959.89,367.23,1,21,networkx_arborescence,True
34.16,29.68,1,21,networkx_arborescence,True
4.68,3.05,1,21,networkx_arborescence,True
7.31,7.0,1,21,networkx_arborescence,True
20.25,5.57,1,22,networkx_arborescence,True
2248.08,3209.42,1,22,networkx_arborescence,True
29.68,12.57,1,22,networkx_arborescence,True
3.05,12.91,1,22,networkx_arborescence,True
3.05,9.15,1,22,networkx_arborescence,True
367.23,2205.52,1,22,networkx_arborescence,True
431.55,3127.25,1,22,networkx_arborescence,True
7.0,38.06,1,22,networkx_arborescence,True
889.88,638.28,1,22,networkx_arborescence,True
12.57,30.07,1,23,networkx_arborescence,True
12.91,6.39,1,23,networkx_arborescence,True
2205.52,1351.33,1,23,networkx_arborescence,True
3127.25,2184.76,1,23,networkx_arborescence,True
3209.42,1426.09,1,23,networkx_arborescence,True
38.06,34.18,1,23,networkx_arborescence,True
638.28,1439.17,1,23,networkx_arborescence,True
9.15,40.41,1,23,networkx_arborescence,True
1351.33,3955.96,1,24,networkx_arborescence,True
1426.09,1902.37,1,24,networkx_arborescence,True
1439.17,695.3,1,24,networkx_arborescence,True
