From,To,Weight,Level,Method
18.09,5.29,1,64,ramex_forward_heuristic
35.11,8.98,1,64,ramex_forward_heuristic
4.61,30.94,1,64,ramex_forward_heuristic
8.97,19.2,1,64,ramex_forward_heuristic
30.94,19.35,1,65,ramex_forward_heuristic
37.61,48.54,1,65,ramex_forward_heuristic
5.29,7.96,1,65,ramex_forward_heuristic
8.98,6.9,1,65,ramex_forward_heuristic
19.35,17.26,1,66,ramex_forward_heuristic
48.54,18.2,1,66,ramex_forward_heuristic
6.9,28.41,1,66,ramex_forward_heuristic
7.96,6.86,1,66,ramex_forward_heuristic
18.2,20.05,1,67,ramex_forward_heuristic
28.41,8.58,1,67,ramex_forward_heuristic
6.86,31.92,1,67,ramex_forward_heuristic
6.86,8.05,1,67,ramex_forward_heuristic
20.05,11.72,1,68,ramex_forward_heuristic
31.92,6.82,1,68,ramex_forward_heuristic
8.05,3.56,1,68,ramex_forward_heuristic
8.58,14.92,1,68,ramex_forward_heuristic
11.72,34.96,1,69,ramex_forward_heuristic
14.92,18.29,1,69,ramex_forward_heuristic
3.56,5.61,1,69,ramex_forward_heuristic
6.82,33.78,1,69,ramex_forward_heuristic
18.29,2.79,1,70,ramex_forward_heuristic
33.78,23.1,1,70,ramex_forward_heuristic
34.96,3.82,1,70,ramex_forward_heuristic
5.61,3.93,1,70,ramex_forward_heuristic
5.61,35.14,1,70,ramex_forward_heuristic
2.79,21.46,1,71,ramex_forward_heuristic
23.1,11.59,1,71,ramex_forward_heuristic
3.82,9.57,1,71,ramex_forward_heuristic
3.93,10.31,1,71,ramex_forward_heuristic
35.14,16.26,1,71,ramex_forward_heuristic
10.31,4.25,1,72,ramex_forward_heuristic
16.26,7.16,1,72,ramex_forward_heuristic
21.46,32.3,1,72,ramex_forward_heuristic
9.57,17.63,1,72,ramex_forward_heuristic
9.57,30.77,1,72,ramex_forward_heuristic
17.63,16.77,1,73,ramex_forward_heuristic
32.3,4.24,1,73,ramex_forward_heuristic
4.25,27.42,1,73,ramex_forward_heuristic
7.16,6.45,1,73,ramex_forward_heuristic
16.77,26.09,1,74,ramex_forward_heuristic
27.42,28.28,1,74,ramex_forward_heuristic
4.24,7.7,1,74,ramex_forward_heuristic
6.45,3.11,1,74,ramex_forward_heuristic
26.09,38.97,1,75,ramex_forward_heuristic
28.28,4.22,1,75,ramex_forward_heuristic
3.11,19.05,1,75,ramex_forward_heuristic
7.7,7.31,1,75,ramex_forward_heuristic
19.05,35.0,1,76,ramex_forward_heuristic
38.97,18.69,1,76,ramex_forward_heuristic
4.22,11.37,1,76,ramex_forward_heuristic
7.31,7.0,1,76,ramex_forward_heuristic
11.37,47.79,1,77,ramex_forward_heuristic
18.69,33.19,1,77,ramex_forward_heuristic
35.0,41.2,1,77,ramex_forward_heuristic
7.0,38.06,1,77,ramex_forward_heuristic
33.19,8.25,1,78,ramex_forward_heuristic
38.06,34.18,1,78,ramex_forward_heuristic
41.2,25.66,1,78,ramex_forward_heuristic
47.79,5.12,1,78,ramex_forward_heuristic
25.66,36.57,1,79,ramex_forward_heuristic
