From,To,Weight,Level,Direction,Method
5.05,6.22,1,53,BACKWARD,ramex_back_forward_polytree_formal
6.66,19.86,1,51,BACKWARD,ramex_back_forward_polytree_formal
13.11,6.66,1,52,BACKWARD,ramex_back_forward_polytree_formal
25.96,6.66,1,52,BACKWARD,ramex_back_forward_polytree_formal
4.27,13.11,1,53,BACKWARD,ramex_back_forward_polytree_formal
21.04,4.27,1,54,BACKWARD,ramex_back_forward_polytree_formal
11.01,21.04,1,55,BACKWARD,ramex_back_forward_polytree_formal
27.51,11.01,1,56,BACKWARD,ramex_back_forward_polytree_formal
2.65,27.51,1,57,BACKWARD,ramex_back_forward_polytree_formal
4.14,2.65,1,58,BACKWARD,ramex_back_forward_polytree_formal
4.82,25.96,1,53,BACKWARD,ramex_back_forward_polytree_formal
43.42,4.82,1,54,BACKWARD,ramex_back_forward_polytree_formal
12.94,43.42,1,55,BACKWARD,ramex_back_forward_polytree_formal
30.31,12.94,1,56,BACKWARD,ramex_back_forward_polytree_formal
6.32,4.14,1,59,BACKWARD,ramex_back_forward_polytree_formal
10.8,6.32,1,60,BACKWARD,ramex_back_forward_polytree_formal
19.83,10.8,1,61,BACKWARD,ramex_back_forward_polytree_formal
19.2,19.83,1,62,BACKWARD,ramex_back_forward_polytree_formal
26.44,19.83,1,62,BACKWARD,ramex_back_forward_polytree_formal
27.77,26.44,1,63,BACKWARD,ramex_back_forward_polytree_formal
3.57,27.77,1,64,BACKWARD,ramex_back_forward_polytree_formal
22.98,3.57,1,65,BACKWARD,ramex_back_forward_polytree_formal
16.39,22.98,1,66,BACKWARD,ramex_back_forward_polytree_formal
11.15,16.39,1,67,BACKWARD,ramex_back_forward_polytree_formal
14.27,11.15,1,68,BACKWARD,ramex_back_forward_polytree_formal
16.8,14.27,1,69,BACKWARD,ramex_back_forward_polytree_formal
33.07,16.8,1,70,BACKWARD,ramex_back_forward_polytree_formal
29.8,33.07,1,71,BACKWARD,ramex_back_forward_polytree_formal
6.25,29.8,1,72,BACKWARD,ramex_back_forward_polytree_formal
2.16,6.25,1,73,BACKWARD,ramex_back_forward_polytree_formal
7.42,33.79,1,53,BACKWARD,ramex_back_forward_polytree_formal
6.68,7.42,1,54,BACKWARD,ramex_back_forward_polytree_formal
36.82,6.68,1,55,BACKWARD,ramex_back_forward_polytree_formal
15.98,36.82,1,56,BACKWARD,ramex_back_forward_polytree_formal
38.35,15.98,1,57,BACKWARD,ramex_back_forward_polytree_formal
22.15,38.35,1,58,BACKWARD,ramex_back_forward_polytree_formal
40.41,22.15,1,59,BACKWARD,ramex_back_forward_polytree_formal
6.91,6.68,1,55,BACKWARD,ramex_back_forward_polytree_formal
7.61,6.91,1,56,BACKWARD,ramex_back_forward_polytree_formal
5.67,7.61,1,57,BACKWARD,ramex_back_forward_polytree_formal
