From,To,Weight,Level,Method,IsRootedBranching
11516,366,1,10,networkx_arborescence,True
1172,67454,1,10,networkx_arborescence,True
1231,1615,1,10,networkx_arborescence,True
1346,534,1,10,networkx_arborescence,True
1470,954,1,10,networkx_arborescence,True
201,2848,1,10,networkx_arborescence,True
2450,7681,1,10,networkx_arborescence,True
3100,1005,1,10,networkx_arborescence,True
3257,18870,1,10,networkx_arborescence,True
3747,106,1,10,networkx_arborescence,True
4816,2503,1,10,networkx_arborescence,True
5536,2414,1,10,networkx_arborescence,True
66,281,1,10,networkx_arborescence,True
7293,2554,1,10,networkx_arborescence,True
7672,6437,1,10,networkx_arborescence,True
80554,1090,1,10,networkx_arborescence,True
1005,987,1,11,networkx_arborescence,True
106,312,1,11,networkx_arborescence,True
1090,2046,1,11,networkx_arborescence,True
1615,30492,1,11,networkx_arborescence,True
18870,27260,1,11,networkx_arborescence,True
2414,1764,1,11,networkx_arborescence,True
2503,2987,1,11,networkx_arborescence,True
2554,2489,1,11,networkx_arborescence,True
281,1605,1,11,networkx_arborescence,True
2848,2154,1,11,networkx_arborescence,True
366,202,1,11,networkx_arborescence,True
534,771,1,11,networkx_arborescence,True
67454,1536,1,11,networkx_arborescence,True
7681,3491,1,11,networkx_arborescence,True
954,1297,1,11,networkx_arborescence,True
1297,2864,1,12,networkx_arborescence,True
1536,2209,1,12,networkx_arborescence,True
1605,278,1,12,networkx_arborescence,True
1764,129732,1,12,networkx_arborescence,True
2046,4049,1,12,networkx_arborescence,True
2154,1130,1,12,networkx_arborescence,True
2489,3228,1,12,networkx_arborescence,True
27260,41210,1,12,networkx_arborescence,True
2987,4188,1,12,networkx_arborescence,True
30492,1444,1,12,networkx_arborescence,True
312,623,1,12,networkx_arborescence,True
3491,10053,1,12,networkx_arborescence,True
771,640,1,12,networkx_arborescence,True
987,1319,1,12,networkx_arborescence,True
10053,427,1,13,networkx_arborescence,True
1130,65,1,13,networkx_arborescence,True
129732,947,1,13,networkx_arborescence,True
1319,1857,1,13,networkx_arborescence,True
1444,318,1,13,networkx_arborescence,True
2209,154,1,13,networkx_arborescence,True
278,18,1,13,networkx_arborescence,True
2864,9730,1,13,networkx_arborescence,True
3228,2218,1,13,networkx_arborescence,True
4049,5070,1,13,networkx_arborescence,True
41210,1628,1,13,networkx_arborescence,True
4188,727,1,13,networkx_arborescence,True
623,118967,1,13,networkx_arborescence,True
640,163,1,13,networkx_arborescence,True
118967,18089,1,14,networkx_arborescence,True
154,1141,1,14,networkx_arborescence,True
1628,35992,1,14,networkx_arborescence,True
163,631,1,14,networkx_arborescence,True
18,262,1,14,networkx_arborescence,True
18,50,1,14,networkx_arborescence,True
1857,2372,1,14,networkx_arborescence,True
2218,4246,1,14,networkx_arborescence,True
318,1762,1,14,networkx_arborescence,True
427,8527,1,14,networkx_arborescence,True
5070,672,1,14,networkx_arborescence,True
65,1355,1,14,networkx_arborescence,True
727,2715,1,14,networkx_arborescence,True
947,5323,1,14,networkx_arborescence,True
9730,252270,1,14,networkx_arborescence,True
1141,2249,1,15,networkx_arborescence,True
1355,13449,1,15,networkx_arborescence,True
1762,1471,1,15,networkx_arborescence,True
18089,16,1,15,networkx_arborescence,True
2372,302,1,15,networkx_arborescence,True
252270,828,1,15,networkx_arborescence,True
262,145,1,15,networkx_arborescence,True
2715,2676,1,15,networkx_arborescence,True
35992,5738,1,15,networkx_arborescence,True
4246,901,1,15,networkx_arborescence,True
50,9,1,15,networkx_arborescence,True
5323,1251,1,15,networkx_arborescence,True
631,1763,1,15,networkx_arborescence,True
672,44,1,15,networkx_arborescence,True
8527,5870,1,15,networkx_arborescence,True
1251,67,1,16,networkx_arborescence,True
13449,29,1,16,networkx_arborescence,True
1471,21,1,16,networkx_arborescence,True
16,12,1,16,networkx_arborescence,True
16,19,1,16,networkx_arborescence,True
1763,244,1,16,networkx_arborescence,True
2249,34,1,16,networkx_arborescence,True
2676,26,1,16,networkx_arborescence,True
302,29206,1,16,networkx_arborescence,True
44,8,1,16,networkx_arborescence,True
5738,1049,1,16,networkx_arborescence,True
5870,181,1,16,networkx_arborescence,True
828,508,1,16,networkx_arborescence,True
9,402,1,16,networkx_arborescence,True
901,61,1,16,networkx_arborescence,True
1049,5038,1,17,networkx_arborescence,True
12,2,1,17,networkx_arborescence,True
181,696,1,17,networkx_arborescence,True
19,49,1,17,networkx_arborescence,True
21,2927,1,17,networkx_arborescence,True
244,75,1,17,networkx_arborescence,True
26,654,1,17,networkx_arborescence,True
29,156,1,17,networkx_arborescence,True
29,81,1,17,networkx_arborescence,True
29206,177487,1,17,networkx_arborescence,True
34,239,1,17,networkx_arborescence,True
508,245,1,17,networkx_arborescence,True
61,264,1,17,networkx_arborescence,True
67,279,1,17,networkx_arborescence,True
8,14,1,17,networkx_arborescence,True
177487,1021,1,18,networkx_arborescence,True
2,4443,1,18,networkx_arborescence,True
1021,7399,1,19,networkx_arborescence,True
7399,2069,1,20,networkx_arborescence,True
2069,453,1,21,networkx_arborescence,True
453,955,1,22,networkx_arborescence,True
955,7983,1,23,networkx_arborescence,True
7983,2719,1,24,networkx_arborescence,True
2719,930,1,25,networkx_arborescence,True
930,28,1,26,networkx_arborescence,True
28,126,1,27,networkx_arborescence,True
