From,To,Weight,Level,Direction,Method
189,194,10,11,BACKWARD,ramex_back_forward_heuristic
125,57,9,14,BACKWARD,ramex_back_forward_heuristic
125,174,10,15,FORWARD,ramex_back_forward_heuristic
127,189,9,12,BACKWARD,ramex_back_forward_heuristic
128,162,9,12,BACKWARD,ramex_back_forward_heuristic
135,179,9,14,BACKWARD,ramex_back_forward_heuristic
144,102,9,13,BACKWARD,ramex_back_forward_heuristic
144,94,10,14,FORWARD,ramex_back_forward_heuristic
146,185,9,18,BACKWARD,ramex_back_forward_heuristic
149,151,9,17,BACKWARD,ramex_back_forward_heuristic
150,120,9,11,BACKWARD,ramex_back_forward_heuristic
152,77,9,9,BACKWARD,ramex_back_forward_heuristic
156,125,9,15,BACKWARD,ramex_back_forward_heuristic
16,42,9,10,BACKWARD,ramex_back_forward_heuristic
160,135,9,15,BACKWARD,ramex_back_forward_heuristic
18,160,10,16,BACKWARD,ramex_back_forward_heuristic
87,18,10,17,BACKWARD,ramex_back_forward_heuristic
87,172,10,18,FORWARD,ramex_back_forward_heuristic
161,150,9,12,BACKWARD,ramex_back_forward_heuristic
167,161,10,13,BACKWARD,ramex_back_forward_heuristic
171,94,9,15,BACKWARD,ramex_back_forward_heuristic
173,150,9,12,BACKWARD,ramex_back_forward_heuristic
175,173,9,13,BACKWARD,ramex_back_forward_heuristic
153,175,9,14,BACKWARD,ramex_back_forward_heuristic
186,153,10,15,BACKWARD,ramex_back_forward_heuristic
182,40,9,23,BACKWARD,ramex_back_forward_heuristic
25,182,12,24,BACKWARD,ramex_back_forward_heuristic
12,182,10,24,BACKWARD,ramex_back_forward_heuristic
193,159,9,11,BACKWARD,ramex_back_forward_heuristic
197,117,9,18,BACKWARD,ramex_back_forward_heuristic
20,137,9,12,BACKWARD,ramex_back_forward_heuristic
31,175,9,14,BACKWARD,ramex_back_forward_heuristic
36,189,9,12,BACKWARD,ramex_back_forward_heuristic
46,3,9,14,BACKWARD,ramex_back_forward_heuristic
46,66,10,15,FORWARD,ramex_back_forward_heuristic
93,66,10,16,BACKWARD,ramex_back_forward_heuristic
47,42,9,10,BACKWARD,ramex_back_forward_heuristic
51,115,9,15,BACKWARD,ramex_back_forward_heuristic
53,167,9,14,BACKWARD,ramex_back_forward_heuristic
58,153,9,15,BACKWARD,ramex_back_forward_heuristic
59,63,9,24,BACKWARD,ramex_back_forward_heuristic
6,117,9,18,BACKWARD,ramex_back_forward_heuristic
61,133,9,9,BACKWARD,ramex_back_forward_heuristic
61,84,10,10,FORWARD,ramex_back_forward_heuristic
68,163,9,10,BACKWARD,ramex_back_forward_heuristic
7,163,9,10,BACKWARD,ramex_back_forward_heuristic
7,184,10,11,FORWARD,ramex_back_forward_heuristic
105,184,10,12,BACKWARD,ramex_back_forward_heuristic
155,7,9,11,BACKWARD,ramex_back_forward_heuristic
140,155,9,12,BACKWARD,ramex_back_forward_heuristic
44,140,10,13,BACKWARD,ramex_back_forward_heuristic
73,108,9,11,BACKWARD,ramex_back_forward_heuristic
75,133,9,9,BACKWARD,ramex_back_forward_heuristic
79,10,9,15,BACKWARD,ramex_back_forward_heuristic
86,111,9,21,BACKWARD,ramex_back_forward_heuristic
191,86,12,22,BACKWARD,ramex_back_forward_heuristic
88,154,9,17,BACKWARD,ramex_back_forward_heuristic
24,88,9,18,BACKWARD,ramex_back_forward_heuristic
90,7,9,11,BACKWARD,ramex_back_forward_heuristic
119,90,9,12,BACKWARD,ramex_back_forward_heuristic
92,68,9,11,BACKWARD,ramex_back_forward_heuristic
107,92,9,12,BACKWARD,ramex_back_forward_heuristic
96,140,9,13,BACKWARD,ramex_back_forward_heuristic
187,96,9,14,BACKWARD,ramex_back_forward_heuristic
97,42,9,10,BACKWARD,ramex_back_forward_heuristic
102,177,9,13,FORWARD,ramex_back_forward_heuristic
177,2,10,14,FORWARD,ramex_back_forward_heuristic
106,60,9,12,FORWARD,ramex_back_forward_heuristic
109,37,9,14,FORWARD,ramex_back_forward_heuristic
134,39,9,16,FORWARD,ramex_back_forward_heuristic
136,199,9,14,FORWARD,ramex_back_forward_heuristic
114,199,10,15,BACKWARD,ramex_back_forward_heuristic
139,82,9,9,FORWARD,ramex_back_forward_heuristic
165,183,9,11,FORWARD,ramex_back_forward_heuristic
123,183,9,12,BACKWARD,ramex_back_forward_heuristic
142,123,9,13,BACKWARD,ramex_back_forward_heuristic
19,142,9,14,BACKWARD,ramex_back_forward_heuristic
171,95,9,16,FORWARD,ramex_back_forward_heuristic
179,45,9,14,FORWARD,ramex_back_forward_heuristic
45,141,10,15,FORWARD,ramex_back_forward_heuristic
141,200,10,16,FORWARD,ramex_back_forward_heuristic
199,22,9,15,FORWARD,ramex_back_forward_heuristic
3,28,9,14,FORWARD,ramex_back_forward_heuristic
36,145,9,13,FORWARD,ramex_back_forward_heuristic
50,126,9,7,FORWARD,ramex_back_forward_heuristic
180,16,8,11,BACKWARD,ramex_back_forward_heuristic
190,143,8,13,BACKWARD,ramex_back_forward_heuristic
190,34,10,14,FORWARD,ramex_back_forward_heuristic
