From,To,Weight,Level,ParentPath,Reason
16,12,1,1,16,top-2 outgoing edge
16,19,1,1,16,top-2 outgoing edge
12,2,1,2,16 -> 12,top-2 outgoing edge
19,49,1,2,16 -> 19,top-2 outgoing edge
2,4443,1,3,16 -> 12 -> 2,top-2 outgoing edge
49,18,1,3,16 -> 19 -> 49,top-2 outgoing edge
18,262,1,4,16 -> 19 -> 49 -> 18,top-2 outgoing edge
18,50,1,4,16 -> 19 -> 49 -> 18,top-2 outgoing edge
262,145,1,5,16 -> 19 -> 49 -> 18 -> 262,top-2 outgoing edge
50,9,1,5,16 -> 19 -> 49 -> 18 -> 50,top-2 outgoing edge
