From,To,Weight,Level
Smartphone,Café Moído,13.0,1
Café Moído,Arroz 1kg,11.0,2
Café Moído,Portátil,11.0,2
Smartphone,Detergente Roupa,11.0,1
Detergente Roupa,Leite 1L,12.0,2
Café Moído,Champô,10.0,2
Portátil,Televisão LED,9.0,3
