From,To,Weight,Level,Direction,Method
134,71,10,16,FORWARD,ramex_back_forward_polytree_formal
1,181,9,14,BACKWARD,ramex_back_forward_polytree_formal
116,98,9,10,BACKWARD,ramex_back_forward_polytree_formal
117,64,9,17,BACKWARD,ramex_back_forward_polytree_formal
4,117,10,18,BACKWARD,ramex_back_forward_polytree_formal
122,139,9,9,BACKWARD,ramex_back_forward_polytree_formal
194,122,12,10,BACKWARD,ramex_back_forward_polytree_formal
189,194,10,11,BACKWARD,ramex_back_forward_polytree_formal
125,57,9,14,BACKWARD,ramex_back_forward_polytree_formal
125,174,10,15,FORWARD,ramex_back_forward_polytree_formal
127,189,9,12,BACKWARD,ramex_back_forward_polytree_formal
128,162,9,12,BACKWARD,ramex_back_forward_polytree_formal
135,179,9,14,BACKWARD,ramex_back_forward_polytree_formal
144,102,9,13,BACKWARD,ramex_back_forward_polytree_formal
144,94,10,14,FORWARD,ramex_back_forward_polytree_formal
146,185,9,18,BACKWARD,ramex_back_forward_polytree_formal
149,151,9,17,BACKWARD,ramex_back_forward_polytree_formal
150,120,9,11,BACKWARD,ramex_back_forward_polytree_formal
152,77,9,9,BACKWARD,ramex_back_forward_polytree_formal
156,125,9,15,BACKWARD,ramex_back_forward_polytree_formal
16,42,9,10,BACKWARD,ramex_back_forward_polytree_formal
160,135,9,15,BACKWARD,ramex_back_forward_polytree_formal
18,160,10,16,BACKWARD,ramex_back_forward_polytree_formal
87,18,10,17,BACKWARD,ramex_back_forward_polytree_formal
87,172,10,18,FORWARD,ramex_back_forward_polytree_formal
161,150,9,12,BACKWARD,ramex_back_forward_polytree_formal
167,161,10,13,BACKWARD,ramex_back_forward_polytree_formal
171,94,9,15,BACKWARD,ramex_back_forward_polytree_formal
173,150,9,12,BACKWARD,ramex_back_forward_polytree_formal
175,173,9,13,BACKWARD,ramex_back_forward_polytree_formal
153,175,9,14,BACKWARD,ramex_back_forward_polytree_formal
186,153,10,15,BACKWARD,ramex_back_forward_polytree_formal
182,40,9,23,BACKWARD,ramex_back_forward_polytree_formal
25,182,12,24,BACKWARD,ramex_back_forward_polytree_formal
12,182,10,24,BACKWARD,ramex_back_forward_polytree_formal
193,159,9,11,BACKWARD,ramex_back_forward_polytree_formal
197,117,9,18,BACKWARD,ramex_back_forward_polytree_formal
20,137,9,12,BACKWARD,ramex_back_forward_polytree_formal
31,175,9,14,BACKWARD,ramex_back_forward_polytree_formal
36,189,9,12,BACKWARD,ramex_back_forward_polytree_formal
46,3,9,14,BACKWARD,ramex_back_forward_polytree_formal
46,66,10,15,FORWARD,ramex_back_forward_polytree_formal
93,66,10,16,BACKWARD,ramex_back_forward_polytree_formal
47,42,9,10,BACKWARD,ramex_back_forward_polytree_formal
51,115,9,15,BACKWARD,ramex_back_forward_polytree_formal
53,167,9,14,BACKWARD,ramex_back_forward_polytree_formal
58,153,9,15,BACKWARD,ramex_back_forward_polytree_formal
59,63,9,24,BACKWARD,ramex_back_forward_polytree_formal
6,117,9,18,BACKWARD,ramex_back_forward_polytree_formal
61,133,9,9,BACKWARD,ramex_back_forward_polytree_formal
61,84,10,10,FORWARD,ramex_back_forward_polytree_formal
68,163,9,10,BACKWARD,ramex_back_forward_polytree_formal
7,163,9,10,BACKWARD,ramex_back_forward_polytree_formal
7,184,10,11,FORWARD,ramex_back_forward_polytree_formal
105,184,10,12,BACKWARD,ramex_back_forward_polytree_formal
155,7,9,11,BACKWARD,ramex_back_forward_polytree_formal
140,155,9,12,BACKWARD,ramex_back_forward_polytree_formal
44,140,10,13,BACKWARD,ramex_back_forward_polytree_formal
73,108,9,11,BACKWARD,ramex_back_forward_polytree_formal
75,133,9,9,BACKWARD,ramex_back_forward_polytree_formal
79,10,9,15,BACKWARD,ramex_back_forward_polytree_formal
86,111,9,21,BACKWARD,ramex_back_forward_polytree_formal
191,86,12,22,BACKWARD,ramex_back_forward_polytree_formal
88,154,9,17,BACKWARD,ramex_back_forward_polytree_formal
24,88,9,18,BACKWARD,ramex_back_forward_polytree_formal
90,7,9,11,BACKWARD,ramex_back_forward_polytree_formal
119,90,9,12,BACKWARD,ramex_back_forward_polytree_formal
92,68,9,11,BACKWARD,ramex_back_forward_polytree_formal
107,92,9,12,BACKWARD,ramex_back_forward_polytree_formal
96,140,9,13,BACKWARD,ramex_back_forward_polytree_formal
187,96,9,14,BACKWARD,ramex_back_forward_polytree_formal
97,42,9,10,BACKWARD,ramex_back_forward_polytree_formal
102,177,9,13,FORWARD,ramex_back_forward_polytree_formal
177,2,10,14,FORWARD,ramex_back_forward_polytree_formal
106,60,9,12,FORWARD,ramex_back_forward_polytree_formal
109,37,9,14,FORWARD,ramex_back_forward_polytree_formal
134,39,9,16,FORWARD,ramex_back_forward_polytree_formal
136,199,9,14,FORWARD,ramex_back_forward_polytree_formal
114,199,10,15,BACKWARD,ramex_back_forward_polytree_formal
139,82,9,9,FORWARD,ramex_back_forward_polytree_formal
165,183,9,11,FORWARD,ramex_back_forward_polytree_formal
123,183,9,12,BACKWARD,ramex_back_forward_polytree_formal
142,123,9,13,BACKWARD,ramex_back_forward_polytree_formal
19,142,9,14,BACKWARD,ramex_back_forward_polytree_formal
171,95,9,16,FORWARD,ramex_back_forward_polytree_formal
179,45,9,14,FORWARD,ramex_back_forward_polytree_formal
45,141,10,15,FORWARD,ramex_back_forward_polytree_formal
141,200,10,16,FORWARD,ramex_back_forward_polytree_formal
199,22,9,15,FORWARD,ramex_back_forward_polytree_formal
3,28,9,14,FORWARD,ramex_back_forward_polytree_formal
36,145,9,13,FORWARD,ramex_back_forward_polytree_formal
50,126,9,7,FORWARD,ramex_back_forward_polytree_formal
180,16,8,11,BACKWARD,ramex_back_forward_polytree_formal
190,143,8,13,BACKWARD,ramex_back_forward_polytree_formal
190,34,10,14,FORWARD,ramex_back_forward_polytree_formal
