From,To,Weight,Level
Smartphone,Café Moído,13,1
Café Moído,Arroz 1kg,11,2
Café Moído,Portátil,11,2
Smartphone,Detergente Roupa,11,1
Detergente Roupa,Leite 1L,12,2
Café Moído,Champô,10,2
Portátil,Televisão LED,9,3
