From,To,Weight,Level,Method,IsRootedBranching
Smartphone,Café Moído,13,1,networkx_arborescence,True
Smartphone,Detergente Roupa,11,1,networkx_arborescence,True
Smartphone,Televisão LED,9,1,networkx_arborescence,True
Café Moído,Arroz 1kg,11,2,networkx_arborescence,True
Detergente Roupa,Leite 1L,12,2,networkx_arborescence,True
Televisão LED,Champô,11,2,networkx_arborescence,True
Leite 1L,Portátil,12,3,networkx_arborescence,True
