From,To,Weight,Level,Method
Smartphone,Café Moído,13,1,ramex_forward_heuristic
Smartphone,Detergente Roupa,11,1,ramex_forward_heuristic
Café Moído,Arroz 1kg,11,2,ramex_forward_heuristic
Café Moído,Champô,10,2,ramex_forward_heuristic
Café Moído,Portátil,11,2,ramex_forward_heuristic
Detergente Roupa,Leite 1L,12,2,ramex_forward_heuristic
Portátil,Televisão LED,9,3,ramex_forward_heuristic
