Fase,Ficheiro,Algoritmo,Metodo,Nos originais,Arestas originais,Nos selecionados,Arestas selecionadas,Soma pesos originais,Soma pesos selecionados,Peso preservado (%),Aciclico,Conectado,Raiz ou aresta inicial,Observacoes
10A,ramex2007_dataset01.json,RAMEX 2007 Rooted Branching,networkx_arborescence,200,38815,200,199,139834.0,1909.0,1.3651901540397902,True,Nao disponivel,150,Nó SOURCE não existe e o grafo não tem nós sem entradas; será usada uma raiz real se necessário. | Raiz pedida 'SOURCE' não existe. Foi escolhida automaticamente: 150. | Versao base inspirada no RAMEX 2007 com rooted branching.
10B,ramex_forward_dataset01.json,RAMEX Forward Heuristic,ramex_forward_heuristic,200,38815,200,199,139834.0,1842.0,1.3172761989215784,True,Nao disponivel,150,Heuristica simples enraizada numa raiz conhecida.
10C,ramex_back_forward_dataset01.json,RAMEX Back-and-Forward Heuristic,ramex_back_forward_heuristic,200,38815,200,199,139834.0,1981.0,1.4166797774504054,True,True,118 -> 55 (15.0),"Heuristica sem raiz explicita, com expansao forward e backward."
