Fase,Ficheiro,Algoritmo,Metodo,Nos originais,Arestas originais,Nos selecionados,Arestas selecionadas,Soma pesos originais,Soma pesos selecionados,Peso preservado (%),Aciclico,Conectado,Raiz ou aresta inicial,Observacoes
10A,ramex2007_dataset02.json,RAMEX 2007 Rooted Branching,networkx_arborescence,282,289,282,281,289.0,281.0,97.23183391003461,True,Nao disponivel,SOURCE,Nó SOURCE adicionado a 17 nó(s) sem entradas. | Versao base inspirada no RAMEX 2007 com rooted branching.
10B,ramex_forward_dataset02.json,RAMEX Forward Heuristic,ramex_forward_heuristic,281,272,17,16,272.0,16.0,5.88235294117647,True,Nao disponivel,45,Heuristica simples enraizada numa raiz conhecida.
10C,ramex_back_forward_dataset02.json,RAMEX Back-and-Forward Heuristic,ramex_back_forward_heuristic,281,272,49,48,272.0,48.0,17.647058823529413,True,True,1005 -> 987 (1.0),"Foram incluidos 49 de 281 nos; os restantes nao tinham candidatos validos. | Heuristica sem raiz explicita, com expansao forward e backward."
