From,To,Weight,Level
16,12,1,1
12,2,1,2
16,19,1,1
19,49,1,2
2,4443,1,3
49,18,1,3
18,262,1,4
18,50,1,4
262,145,1,5
50,9,1,5
9,402,1,6
402,45,1,7
45,137,1,8
137,284,1,9
284,27,1,10
45,22144,1,8
