From,To,Weight,Level,Direction,Method
Arroz 1kg,Smartphone,13,0,INITIAL,ramex_back_forward_polytree_formal
Smartphone,Café Moído,13,2,FORWARD,ramex_back_forward_polytree_formal
Leite 1L,Arroz 1kg,11,1,BACKWARD,ramex_back_forward_polytree_formal
Detergente Roupa,Leite 1L,12,2,BACKWARD,ramex_back_forward_polytree_formal
Leite 1L,Portátil,12,2,FORWARD,ramex_back_forward_polytree_formal
Champô,Detergente Roupa,11,3,BACKWARD,ramex_back_forward_polytree_formal
Televisão LED,Champô,11,4,BACKWARD,ramex_back_forward_polytree_formal
