From,To,Weight,Level,Method
e,1,17,1,ramex_forward_heuristic
e,10,17,1,ramex_forward_heuristic
e,11,17,1,ramex_forward_heuristic
e,12,17,1,ramex_forward_heuristic
e,13,17,1,ramex_forward_heuristic
e,14,17,1,ramex_forward_heuristic
e,15,17,1,ramex_forward_heuristic
e,16,17,1,ramex_forward_heuristic
e,17,17,1,ramex_forward_heuristic
e,2,17,1,ramex_forward_heuristic
e,3,17,1,ramex_forward_heuristic
e,4,17,1,ramex_forward_heuristic
e,5,17,1,ramex_forward_heuristic
e,6,17,1,ramex_forward_heuristic
e,7,17,1,ramex_forward_heuristic
e,8,17,1,ramex_forward_heuristic
e,9,17,1,ramex_forward_heuristic
1,10065,1,2,ramex_forward_heuristic
1,11945,1,2,ramex_forward_heuristic
1,16518,1,2,ramex_forward_heuristic
1,18175,1,2,ramex_forward_heuristic
1,19014,1,2,ramex_forward_heuristic
1,21565,1,2,ramex_forward_heuristic
1,25214,1,2,ramex_forward_heuristic
1,26362,1,2,ramex_forward_heuristic
1,27158,1,2,ramex_forward_heuristic
1,2898,1,2,ramex_forward_heuristic
1,3514,1,2,ramex_forward_heuristic
1,3707,1,2,ramex_forward_heuristic
1,418754,1,2,ramex_forward_heuristic
1,45475,1,2,ramex_forward_heuristic
1,5786,1,2,ramex_forward_heuristic
1,6241,1,2,ramex_forward_heuristic
1,691,1,2,ramex_forward_heuristic
10,1005,1,2,ramex_forward_heuristic
10,106,1,2,ramex_forward_heuristic
10,1090,1,2,ramex_forward_heuristic
10,1615,1,2,ramex_forward_heuristic
10,18870,1,2,ramex_forward_heuristic
10,2069,1,2,ramex_forward_heuristic
10,2414,1,2,ramex_forward_heuristic
10,2503,1,2,ramex_forward_heuristic
10,2554,1,2,ramex_forward_heuristic
10,281,1,2,ramex_forward_heuristic
10,2848,1,2,ramex_forward_heuristic
10,49,1,2,ramex_forward_heuristic
10,534,1,2,ramex_forward_heuristic
10,6437,1,2,ramex_forward_heuristic
10,67454,1,2,ramex_forward_heuristic
10,7681,1,2,ramex_forward_heuristic
10,954,1,2,ramex_forward_heuristic
11,1297,1,2,ramex_forward_heuristic
11,1536,1,2,ramex_forward_heuristic
11,1605,1,2,ramex_forward_heuristic
11,1764,1,2,ramex_forward_heuristic
11,18,1,2,ramex_forward_heuristic
11,2046,1,2,ramex_forward_heuristic
11,2154,1,2,ramex_forward_heuristic
11,2489,1,2,ramex_forward_heuristic
11,27260,1,2,ramex_forward_heuristic
11,2807,1,2,ramex_forward_heuristic
11,2987,1,2,ramex_forward_heuristic
11,30492,1,2,ramex_forward_heuristic
11,312,1,2,ramex_forward_heuristic
11,3491,1,2,ramex_forward_heuristic
11,453,1,2,ramex_forward_heuristic
11,771,1,2,ramex_forward_heuristic
11,987,1,2,ramex_forward_heuristic
12,10053,1,2,ramex_forward_heuristic
12,1130,1,2,ramex_forward_heuristic
12,129732,1,2,ramex_forward_heuristic
12,1319,1,2,ramex_forward_heuristic
12,1444,1,2,ramex_forward_heuristic
12,2209,1,2,ramex_forward_heuristic
12,278,1,2,ramex_forward_heuristic
12,2864,1,2,ramex_forward_heuristic
12,3228,1,2,ramex_forward_heuristic
12,4049,1,2,ramex_forward_heuristic
12,4059,1,2,ramex_forward_heuristic
12,41210,1,2,ramex_forward_heuristic
12,4188,1,2,ramex_forward_heuristic
12,50,1,2,ramex_forward_heuristic
12,623,1,2,ramex_forward_heuristic
12,640,1,2,ramex_forward_heuristic
12,955,1,2,ramex_forward_heuristic
13,118967,1,2,ramex_forward_heuristic
13,154,1,2,ramex_forward_heuristic
13,1628,1,2,ramex_forward_heuristic
13,163,1,2,ramex_forward_heuristic
13,1857,1,2,ramex_forward_heuristic
13,2218,1,2,ramex_forward_heuristic
13,2813,1,2,ramex_forward_heuristic
13,318,1,2,ramex_forward_heuristic
13,427,1,2,ramex_forward_heuristic
13,5070,1,2,ramex_forward_heuristic
13,65,1,2,ramex_forward_heuristic
13,727,1,2,ramex_forward_heuristic
13,7983,1,2,ramex_forward_heuristic
13,947,1,2,ramex_forward_heuristic
13,9730,1,2,ramex_forward_heuristic
14,1141,1,2,ramex_forward_heuristic
14,1355,1,2,ramex_forward_heuristic
14,1762,1,2,ramex_forward_heuristic
14,18089,1,2,ramex_forward_heuristic
14,2372,1,2,ramex_forward_heuristic
14,252270,1,2,ramex_forward_heuristic
14,262,1,2,ramex_forward_heuristic
14,2715,1,2,ramex_forward_heuristic
14,2719,1,2,ramex_forward_heuristic
14,3429,1,2,ramex_forward_heuristic
14,35992,1,2,ramex_forward_heuristic
14,402,1,2,ramex_forward_heuristic
14,4246,1,2,ramex_forward_heuristic
14,5323,1,2,ramex_forward_heuristic
14,631,1,2,ramex_forward_heuristic
14,672,1,2,ramex_forward_heuristic
14,8527,1,2,ramex_forward_heuristic
15,11516,1,2,ramex_forward_heuristic
15,1251,1,2,ramex_forward_heuristic
15,13449,1,2,ramex_forward_heuristic
15,145,1,2,ramex_forward_heuristic
15,1471,1,2,ramex_forward_heuristic
15,1763,1,2,ramex_forward_heuristic
15,2249,1,2,ramex_forward_heuristic
15,2676,1,2,ramex_forward_heuristic
15,302,1,2,ramex_forward_heuristic
15,44,1,2,ramex_forward_heuristic
15,45,1,2,ramex_forward_heuristic
15,5738,1,2,ramex_forward_heuristic
15,5870,1,2,ramex_forward_heuristic
15,828,1,2,ramex_forward_heuristic
15,901,1,2,ramex_forward_heuristic
15,930,1,2,ramex_forward_heuristic
16,1049,1,2,ramex_forward_heuristic
16,181,1,2,ramex_forward_heuristic
16,21,1,2,ramex_forward_heuristic
16,22144,1,2,ramex_forward_heuristic
16,244,1,2,ramex_forward_heuristic
16,26,1,2,ramex_forward_heuristic
16,28,1,2,ramex_forward_heuristic
16,29,2,2,ramex_forward_heuristic
16,34,1,2,ramex_forward_heuristic
16,366,1,2,ramex_forward_heuristic
16,508,1,2,ramex_forward_heuristic
16,61,1,2,ramex_forward_heuristic
16,67,1,2,ramex_forward_heuristic
17,126,1,2,ramex_forward_heuristic
17,156,1,2,ramex_forward_heuristic
17,202,1,2,ramex_forward_heuristic
17,239,1,2,ramex_forward_heuristic
17,245,1,2,ramex_forward_heuristic
17,264,1,2,ramex_forward_heuristic
17,279,1,2,ramex_forward_heuristic
17,2927,1,2,ramex_forward_heuristic
17,4443,1,2,ramex_forward_heuristic
17,5038,1,2,ramex_forward_heuristic
17,654,1,2,ramex_forward_heuristic
17,696,1,2,ramex_forward_heuristic
17,75,1,2,ramex_forward_heuristic
17,81,1,2,ramex_forward_heuristic
2,10710,1,2,ramex_forward_heuristic
2,11300,1,2,ramex_forward_heuristic
2,191,1,2,ramex_forward_heuristic
2,222134,1,2,ramex_forward_heuristic
2,223,1,2,ramex_forward_heuristic
2,2736,1,2,ramex_forward_heuristic
2,3266,1,2,ramex_forward_heuristic
2,3991,1,2,ramex_forward_heuristic
2,4204,1,2,ramex_forward_heuristic
2,4827,1,2,ramex_forward_heuristic
2,4951,1,2,ramex_forward_heuristic
2,7165,1,2,ramex_forward_heuristic
2,73819,1,2,ramex_forward_heuristic
2,784,1,2,ramex_forward_heuristic
2,7933,1,2,ramex_forward_heuristic
2,8169,1,2,ramex_forward_heuristic
2,8574,1,2,ramex_forward_heuristic
3,10838,1,2,ramex_forward_heuristic
3,1475,1,2,ramex_forward_heuristic
3,1816,1,2,ramex_forward_heuristic
3,23795,1,2,ramex_forward_heuristic
3,2408,1,2,ramex_forward_heuristic
3,2557,1,2,ramex_forward_heuristic
3,2825,1,2,ramex_forward_heuristic
3,32,1,2,ramex_forward_heuristic
3,3629,1,2,ramex_forward_heuristic
3,370,1,2,ramex_forward_heuristic
3,5304,1,2,ramex_forward_heuristic
3,5677,1,2,ramex_forward_heuristic
3,5928,1,2,ramex_forward_heuristic
3,601,1,2,ramex_forward_heuristic
3,71883,1,2,ramex_forward_heuristic
3,811,1,2,ramex_forward_heuristic
3,849,1,2,ramex_forward_heuristic
4,1043,1,2,ramex_forward_heuristic
4,11168,1,2,ramex_forward_heuristic
4,1801,1,2,ramex_forward_heuristic
4,1826,1,2,ramex_forward_heuristic
4,224830,1,2,ramex_forward_heuristic
4,2367,1,2,ramex_forward_heuristic
4,27130,1,2,ramex_forward_heuristic
4,32921,1,2,ramex_forward_heuristic
4,3350,1,2,ramex_forward_heuristic
4,3352,1,2,ramex_forward_heuristic
4,3361,1,2,ramex_forward_heuristic
4,337,1,2,ramex_forward_heuristic
4,3621,1,2,ramex_forward_heuristic
4,7074,1,2,ramex_forward_heuristic
4,799,1,2,ramex_forward_heuristic
4,9981,1,2,ramex_forward_heuristic
5,1022,1,2,ramex_forward_heuristic
5,118897,1,2,ramex_forward_heuristic
